trade_date,symbol,turnover_rule,total_quantity,available_quantity,today_buy_quantity,raw_close,market_value,portfolio_weight
2024-03-18,SH.510300,T1,0,0,0,3.59200000,0,0E+3
2024-03-18,SH.518880,T0,92900,92900,0,4.86000000,451494.000,0.4496066770595734871813889400
2024-03-18,SH.588000,T1,523100,523100,0,0.86400000,451958.400,0.4500691357873228391715527894
2024-03-19,SH.510300,T1,0,0,0,3.56900000,0,0E+3
2024-03-19,SH.518880,T0,92300,92300,0,4.87000000,449501.000,0.4500260363761192908542538409
2024-03-19,SH.588000,T1,527500,523100,4400,0.85200000,449430.000,0.4499549534450853121319581129
2024-03-20,SH.510300,T1,0,0,0,3.57200000,0,0E+3
2024-03-20,SH.518880,T0,92300,92300,0,4.88000000,450424.000,0.4500611516982778144604257156
2024-03-20,SH.588000,T1,527400,527400,0,0.85400000,450399.600,0.4500367713541988178290898312
2024-03-21,SH.510300,T1,0,0,0,3.57000000,0,0E+3
2024-03-21,SH.518880,T0,91000,91000,0,4.97800000,452998.000,0.4504704015673973023883529041
2024-03-21,SH.588000,T1,534900,527400,7500,0.84600000,452525.400,0.4500004385393469534572125115
2024-03-22,SH.510300,T1,0,0,0,3.53900000,0,0E+3
2024-03-22,SH.518880,T0,90600,90600,0,4.94600000,448107.600,0.4502707366404797961792287091
2024-03-22,SH.588000,T1,538200,534900,3300,0.83200000,447782.400,0.4499439668120825897276588513
2024-03-25,SH.510300,T1,0,0,0,3.52000000,0,0E+3
2024-03-25,SH.518880,T0,89900,89900,0,4.95600000,445544.400,0.4502146476213422795761092199
2024-03-25,SH.588000,T1,543000,538200,4800,0.82000000,445260.000,0.4499272665078471716939061320
2024-03-26,SH.510300,T1,0,0,0,3.53100000,0,0E+3
2024-03-26,SH.518880,T0,89300,89300,0,4.96600000,443463.800,0.4501806666145422844094571767
2024-03-26,SH.588000,T1,547200,543000,4200,0.81000000,443232.000,0.4499453556860713451771543096
2024-03-27,SH.510300,T1,0,0,0,3.49300000,0,0E+3
2024-03-27,SH.518880,T0,88000,88000,0,4.99000000,439120.000,0.4500524859670679074389867416
2024-03-27,SH.588000,T1,556500,547200,9300,0.78900000,439078.500,0.4500099527684715480881060758
2024-03-28,SH.510300,T1,0,0,0,3.51000000,0,0E+3
2024-03-28,SH.518880,T0,88100,88100,0,5.02900000,443054.900,0.4499420641892913612221276389
2024-03-28,SH.588000,T1,554600,554600,0,0.79900000,443125.400,0.4500136600920233816578934097
2024-03-29,SH.510300,T1,0,0,0,3.52600000,0,0E+3
2024-03-29,SH.518880,T0,87300,87300,0,5.12600000,447499.800,0.4503021564039052957489283911
2024-03-29,SH.588000,T1,559000,554600,4400,0.80000000,447200.000,0.4500004789808318311179597767
2024-04-01,SH.510300,T1,0,0,0,3.58400000,0,0E+3
2024-04-01,SH.518880,T0,87600,87600,0,5.15500000,451578.000,0.4499756277899275123300424722
2024-04-01,SH.588000,T1,555500,555500,0,0.81300000,451621.500,0.4500189734352177209911959315
2024-04-02,SH.510300,T1,0,0,0,3.57200000,0,0E+3
2024-04-02,SH.518880,T0,87300,87300,0,5.15900000,450380.700,0.4503765475282317897028989393
2024-04-02,SH.588000,T1,558300,555500,2800,0.80600000,449989.800,0.4499856511322965602257147189
2024-04-03,SH.510300,T1,0,0,0,3.55800000,0,0E+3
2024-04-03,SH.518880,T0,86000,86000,0,5.23100000,449866.000,0.4500581208106116338942767889
2024-04-03,SH.588000,T1,566500,558300,8200,0.79400000,449801.000,0.4499930930515618507228365645
2024-04-08,SH.510300,T1,0,0,0,3.52900000,0,0E+3
2024-04-08,SH.518880,T0,84200,84200,0,5.35400000,450806.800,0.4503298016674777741920203282
2024-04-08,SH.588000,T1,579000,566500,12500,0.77800000,450462.000,0.4499853665000957685600258494
2024-04-09,SH.510300,T1,0,0,0,3.52300000,0,0E+3
2024-04-09,SH.518880,T0,84300,84300,0,5.36900000,452606.700,0.4497450084905751495693024938
2024-04-09,SH.588000,T1,577000,577000,0,0.78500000,452945.000,0.4500811695248072136839063983
2024-04-10,SH.510300,T1,0,0,0,3.49700000,0,0E+3
2024-04-10,SH.518880,T0,83700,83700,0,5.38800000,450975.600,0.4505146694314113344355123386
2024-04-10,SH.588000,T1,582700,577000,5700,0.77300000,450427.100,0.4499667300391623322346440909
